,Series_Title,Released_Year,Runtime,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Certificate_16,Certificate_A,Certificate_Approved,Certificate_G,Certificate_GP,Certificate_PG,Certificate_PG-13,Certificate_Passed,Certificate_R,Certificate_TV-14,Certificate_TV-MA,Certificate_TV-PG,Certificate_U,Certificate_U/A,Certificate_UA,Certificate_Unrated,Certificate_nan,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Film-Noir,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western
0,The Shawshank Redemption,0.9871287128712871,0.3514492753623188,9.3,0.7222222222222223,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,1.0,0.030256588478144258,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,The Godfather,0.9762376237623762,0.4710144927536232,9.2,1.0,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton,0.688207014428681,0.14409174453440418,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,The Dark Knight,0.994059405940594,0.38768115942028986,9.0,0.7777777777777777,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,0.9827965394633874,0.571025359956301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,The Godfather: Part II,0.9772277227722772,0.568840579710145,9.0,0.8611111111111112,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,0.47664086018165486,0.061173359298474846,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12 Angry Men,0.9688118811881188,0.18478260869565216,9.0,0.9444444444444444,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,0.2867776923601243,0.004653439581956724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,The Lord of the Rings: The Return of the King,0.9915841584158416,0.5652173913043479,8.9,0.9166666666666667,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,0.6978665431130507,0.40339528631129395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Pulp Fiction,0.9871287128712871,0.3949275362318841,8.9,0.9166666666666667,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,0.7769986652413136,0.11522574999712809,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Schindler's List,0.9866336633663366,0.5434782608695652,8.9,0.9166666666666667,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,0.512685815751533,0.10344993682452343,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Inception,0.995049504950495,0.3731884057971015,8.8,0.6388888888888888,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,0.8809036324935656,0.31235945020531014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,Fight Club,0.9896039603960396,0.34057971014492755,8.8,0.5277777777777778,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,0.789316063436844,0.03953276603020867,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
